CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
  113 ,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,JESÚS MARÍA,140133,-120.825.774,-770.462.745,17/08/2022
  114 ,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,PRIVADO,LICENCIA DENEGADA,CUSCO,CUSCO,CUSCO,70101,-1.352.546.307,-7.195.167.842,17/08/2022
  115 ,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,PRIVADO,LICENCIA DENEGADA,AREQUIPA,AREQUIPA,TIABAYA,40120,-164.495.719,-71.600.257,17/08/2022
  116 ,UNIVERSIDAD SAN ANDRÉS S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,INDEPENDENCIA,140134,-11.990.606,-770.598.606,17/08/2022
  117 ,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,BREÑA,140104,-120.563.001,-77.044.063,17/08/2022
  118 ,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,ATE,140103,-120.211.306,-769.037.173,17/08/2022
  119 ,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,PRIVADO,LICENCIA DENEGADA,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-81.151,-7.903.194,17/08/2022
  134 ,UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,PRIVADO,LICENCIA DENEGADA,TACNA,TACNA,TACNA,220101,-180.165.596,-702.417.025,17/08/2022
  135 ,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADO,LICENCIA DENEGADA,AREQUIPA,AREQUIPA,AREQUIPA,40101,-164.083.213,-715.281.451,17/08/2022
  137 ,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADO,LICENCIA DENEGADA,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,-57.566.749,-78.443.932,17/08/2022
  139 ,UNIVERSIDAD NACIONAL CIRO ALEGRÍA,PÚBLICO,LICENCIA DENEGADA,LA LIBERTAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,120301,-7.812.512.994,-7.804.537.079,17/08/2022
  140 ,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,HUAROCHIRÍ,SAN ANTONIO,140615,-1.190.960.162,-7.697.846.664,17/08/2022
  141 ,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,PRIVADO,LICENCIA DENEGADA,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,240101,-120.614.969,-771.471.769,17/08/2022
  142 ,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,PRIVADO,LICENCIA DENEGADA,CUSCO,LA CONVENCIÓN,SANTA ANA,70901,-128.604.607,-726.921.444,17/08/2022
  144 ,UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,PRIVADO,LICENCIA DENEGADA,CUSCO,CUSCO,CUSCO,70101,-135.242.195,-719.436.937,17/08/2022
  145 ,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,PRIVADO,LICENCIA DENEGADA,JUNÍN,HUANCAYO,HUANCAYO,110101,-120.711.983,-752.139.846,17/08/2022
  146 ,UNIVERSIDAD PRIVADA SISE S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,ATE,140103,-120.165.774,-768.901.713,17/08/2022
  147 ,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LA MOLINA,140110,-120.638.224,-769.601.327,17/08/2022
  148 ,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,PUEBLO LIBRE,140117,-120.696.208,-770.533.978,17/08/2022
